jNkylY5HycI,No Love,https://s320.djpunjab.is/data/320/51515/299399/No Love - Shubh.mp3,https://lh3.googleusercontent.com/G2ryS0OQ-BJ4g94A315NXGxX3jGU0rph_zeqjBbKGkvMYQ56uLDsWHYZpLwmJmdUPZPxCE56Dw5w1fdjkA=w544-h544-l90-rj
h4SGsHUr4SA,Baller,https://s320.djpunjab.is/data/320/52396/300400/Baller - Shubh.mp3,https://lh3.googleusercontent.com/TMs8F36tog6BNOxTQhxdfa_NwGlGSxctjDOk1GpFiblDD2GGeo-gwXbq5tqqohMSwAJawqI9p8fnI1E=w544-h544-l90-rj
Zw9zc9otxek,Her,https://s320.djpunjab.is/data/320/52775/300839/Her - Shubh.mp3,https://lh3.googleusercontent.com/3MOLy9UxekpRnVAddfnRM6jZiv5LXtTMDRLSvHSYecVPlAmWuV3Zixc2Zo7Q6Q2S4008KyPv6Lu-iBiVyg=w544-h544-l90-rj
5iPf3O934hY,Be Mine,https://s320.djpunjab.is/data/320/55814/304921/Be Mine - Shubh.mp3,https://lh3.googleusercontent.com/-lBsHw0BuBh2KHjSLMeyBAwqZQ-R-JxraU0isJMIDbyRstvLCy4UGKP3EBmCENwcqOl47TxGfeFk1WI=w544-h544-l90-rj
93AdicDsa9I,Balenci,https://s320.djpunjab.is/data/320/58038/308257/Balenci - Shubh.mp3,https://lh3.googleusercontent.com/i1Ce1nhhn5c52JQtkkpE1uvJhdwkc34aOjaE_v98qWz4qrPaKhK8XwQQ5hpW012coIdCI-GGMoasJ1fQTw=w544-h544-l90-rj
8DvIsGhtfY8,Bandana,https://s320.djpunjab.is/data/320/55292/304198/Bandana - Shubh.mp3,https://lh3.googleusercontent.com/HXBedjoDxkPIOhwWIzUrEdQYwUyK9hpgCBhChwMRY-1E8Jver3T-NVKXutwWzAhNBDPXCdtqVogApWL8=w544-h544-l90-rj
R2rPXjctmGc,Aura,https://p320.djpunjab.is/data/320/56865/306461/Aura - Shubh.mp3,https://lh3.googleusercontent.com/BusumQJRmdrk_AedfxoeScU3Z6WSfTaDBxdcrCF13bGUJxq26mv7ivPBWL8Bxq3pvlKwg2Mc3aDQPO16=w544-h544-l90-rj
U-byNg9VDZ0,MVP,https://s320.djpunjab.is/data/320/55507/304509/MVP - Shubh.mp3,https://lh3.googleusercontent.com/BbTkOnX6OMwvcN4CUGuLg7P8Tdqk_4qBxOjexlx7l8j8zZgRiAdK2Cjngj0nRnzElUP2IVdBnEFSiqoh=w544-h544-l90-rj
vsrjh8ip9-0,You and Me,https://p320.djpunjab.is/data/320/54902/303587/You And Me - Shubh.mp3,https://lh3.googleusercontent.com/5sAOVCBCsvjDwhvdr_AakxsrmLi28MOqvkPI_K39v6jkHIGGI_3yZcAHlauA0PrPx5Te8uEX98zAnyPf=w544-h544-l90-rj
9SoY4BtR8Pw,Safety Off,https://p320.djpunjab.is/data/320/54902/303588/Safety Off - Shubh.mp3,https://lh3.googleusercontent.com/5sAOVCBCsvjDwhvdr_AakxsrmLi28MOqvkPI_K39v6jkHIGGI_3yZcAHlauA0PrPx5Te8uEX98zAnyPf=w544-h544-l90-rj
iyLALTxXGUM,Hood Anthem,https://p320.djpunjab.is/data/320/54902/303589/Hood Anthem - Shubh.mp3,https://lh3.googleusercontent.com/5sAOVCBCsvjDwhvdr_AakxsrmLi28MOqvkPI_K39v6jkHIGGI_3yZcAHlauA0PrPx5Te8uEX98zAnyPf=w544-h544-l90-rj
1usErKKsNGM,King Shit,https://p320.djpunjab.is/data/320/54902/303590/King Shit - Shubh.mp3,https://lh3.googleusercontent.com/5sAOVCBCsvjDwhvdr_AakxsrmLi28MOqvkPI_K39v6jkHIGGI_3yZcAHlauA0PrPx5Te8uEX98zAnyPf=w544-h544-l90-rj
SAMnNrdpylA,Ice,https://p320.djpunjab.is/data/320/53792/302027/Ice - Shubh.mp3,https://lh3.googleusercontent.com/V_w7m2kuoVshpqcS1-RlEl-aONMQcGjP84WSo1tJS5IU8IDCr0v0s0NBMMGrLXtlL4CNjUKEdXcN3gAy=w544-h544-l90-rj
thS3-dmUvlg,Dior,https://p320.djpunjab.is/data/320/53792/302026/Dior - Shubh.mp3,https://lh3.googleusercontent.com/V_w7m2kuoVshpqcS1-RlEl-aONMQcGjP84WSo1tJS5IU8IDCr0v0s0NBMMGrLXtlL4CNjUKEdXcN3gAy=w544-h544-l90-rj
OEo9mz8pljQ,Cheques,https://p320.djpunjab.is/data/320/53792/302025/Cheques - Shubh.mp3,https://lh3.googleusercontent.com/V_w7m2kuoVshpqcS1-RlEl-aONMQcGjP84WSo1tJS5IU8IDCr0v0s0NBMMGrLXtlL4CNjUKEdXcN3gAy=w544-h544-l90-rj
qeAtl_FJBMA,Ruthless,https://p320.djpunjab.is/data/320/53792/302029/Ruthless - Shubh.mp3,https://lh3.googleusercontent.com/V_w7m2kuoVshpqcS1-RlEl-aONMQcGjP84WSo1tJS5IU8IDCr0v0s0NBMMGrLXtlL4CNjUKEdXcN3gAy=w544-h544-l90-rj
1FdMm_O7it8,One Love,https://s320.djpunjab.is/data/320/54173/302543/One Love - Shubh.mp3,https://lh3.googleusercontent.com/1L5hDbqWRfzoPbCYQtNJLMqIr3KLQB4a0uzkkm8M_Ef9GrXsGkmdVp46dx6JDKr_h0qUPBlOJCYumds=w544-h544-l90-rj
K5xT4_lt4Z8,Ruger,https://p320.djpunjab.is/data/320/56865/306459/Ruger - Shubh.mp3,https://lh3.googleusercontent.com/BusumQJRmdrk_AedfxoeScU3Z6WSfTaDBxdcrCF13bGUJxq26mv7ivPBWL8Bxq3pvlKwg2Mc3aDQPO16=w544-h544-l90-rj
ZriONHrdlbk,In Love,https://p320.djpunjab.is/data/320/56865/306466/In Love - Shubh.mp3,https://lh3.googleusercontent.com/BusumQJRmdrk_AedfxoeScU3Z6WSfTaDBxdcrCF13bGUJxq26mv7ivPBWL8Bxq3pvlKwg2Mc3aDQPO16=w544-h544-l90-rj
tbUgMJvsuNg,The Flow (Outro),https://p320.djpunjab.is/data/320/53792/302031/The Flow (Outro) - Shubh.mp3,https://lh3.googleusercontent.com/V_w7m2kuoVshpqcS1-RlEl-aONMQcGjP84WSo1tJS5IU8IDCr0v0s0NBMMGrLXtlL4CNjUKEdXcN3gAy=w544-h544-l90-rj
Ld_fabIEmek,Supreme,https://s320.djpunjab.is/data/320/57339/307166/Supreme - Shubh.mp3,https://lh3.googleusercontent.com/zuzIKOBT1migLpcsVfZCyFIm_4JrkMY8HSftUCArWN8i6PHr2Gz9DLKIx-UHLqMbTCrzpY6ufdnsP7s=w544-h544-l90-rj
LxLNLSGnLF8,Reckless,https://p320.djpunjab.is/data/320/56865/306465/Reckless - Shubh.mp3,https://lh3.googleusercontent.com/BusumQJRmdrk_AedfxoeScU3Z6WSfTaDBxdcrCF13bGUJxq26mv7ivPBWL8Bxq3pvlKwg2Mc3aDQPO16=w544-h544-l90-rj
sQwO85CmVDs,Routine,https://p320.djpunjab.is/data/320/56865/306464/Routine - Shubh.mp3,https://lh3.googleusercontent.com/BusumQJRmdrk_AedfxoeScU3Z6WSfTaDBxdcrCF13bGUJxq26mv7ivPBWL8Bxq3pvlKwg2Mc3aDQPO16=w544-h544-l90-rj
wukQRAoOSKU,Bars,https://p320.djpunjab.is/data/320/56865/306463/Bars - Shubh.mp3,https://lh3.googleusercontent.com/BusumQJRmdrk_AedfxoeScU3Z6WSfTaDBxdcrCF13bGUJxq26mv7ivPBWL8Bxq3pvlKwg2Mc3aDQPO16=w544-h544-l90-rj
cBgsbOmXvgs,Buckle Up,https://p320.djpunjab.is/data/320/56865/306458/Buckle Up - Shubh.mp3,https://lh3.googleusercontent.com/BusumQJRmdrk_AedfxoeScU3Z6WSfTaDBxdcrCF13bGUJxq26mv7ivPBWL8Bxq3pvlKwg2Mc3aDQPO16=w544-h544-l90-rj
wLRDsTCphbw,Still Rollin,https://p320.djpunjab.is/data/320/53792/302030/Still Rollin - Shubh.mp3,https://lh3.googleusercontent.com/V_w7m2kuoVshpqcS1-RlEl-aONMQcGjP84WSo1tJS5IU8IDCr0v0s0NBMMGrLXtlL4CNjUKEdXcN3gAy=w544-h544-l90-rj
A-FUaJsn1H4,Carti,https://p320.djpunjab.is/data/320/56865/306457/Carti - Shubh.mp3,https://lh3.googleusercontent.com/BusumQJRmdrk_AedfxoeScU3Z6WSfTaDBxdcrCF13bGUJxq26mv7ivPBWL8Bxq3pvlKwg2Mc3aDQPO16=w544-h544-l90-rj
64eIRd5SgZg,Fell For You,https://p320.djpunjab.is/data/320/56865/306460/Fell For You - Shubh.mp3,https://lh3.googleusercontent.com/BusumQJRmdrk_AedfxoeScU3Z6WSfTaDBxdcrCF13bGUJxq26mv7ivPBWL8Bxq3pvlKwg2Mc3aDQPO16=w544-h544-l90-rj
NzafSNc_Odo,Top G,https://p320.djpunjab.is/data/320/56865/306462/Top G - Shubh.mp3,https://lh3.googleusercontent.com/BusumQJRmdrk_AedfxoeScU3Z6WSfTaDBxdcrCF13bGUJxq26mv7ivPBWL8Bxq3pvlKwg2Mc3aDQPO16=w544-h544-l90-rj
jNkylY5HycI,No Love,https://s320.djpunjab.is/data/320/51515/299399/No Love - Shubh.mp3,https://lh3.googleusercontent.com/G2ryS0OQ-BJ4g94A315NXGxX3jGU0rph_zeqjBbKGkvMYQ56uLDsWHYZpLwmJmdUPZPxCE56Dw5w1fdjkA=w544-h544-l90-rj
6fHgKOBcJXw,Take It Easy,https://s320.djpunjab.is/data/320/53216/301382/Take It Easy - Karan Aujla.mp3,https://lh3.googleusercontent.com/-OoGihZ5OKb294Z5Fqj5_-JKslHZdYw0c-GG23BWr_VaaIUMGYASjBD8pjRvtvn3_IA2TzOkUZaOh_I=w544-h544-l90-rj
tMgEYaclnQ0,On Top,https://s320.djpunjab.is/data/320/52751/300803/On Top - Karan Aujla.mp3,https://lh3.googleusercontent.com/EJVc_it69xO_GF8zqL3WxJ5l1fUU0FpaUlRj6DsCxppzJKHzGI51umZ8PSE-0fGFWCJQHW319YY9OWNUdw=w544-h544-l90-rj
ttH-_1z-kKA,WYTB,https://s320.djpunjab.is/data/320/52755/300807/WYTB - Karan Aujla.mp3,https://lh3.googleusercontent.com/-KnetIrOuOQ1vQdXJRjFkF9aW9JpG13uQHVW_NkcaBGVFO8hmI5RVfKBV0GT5XSijlNX9jNP9IBWJFLwvA=w544-h544-l90-rj
7dzp-MPFziU,Fallin Apart,https://s320.djpunjab.is/data/320/53216/301383/Fallin Apart - Karan Aujla.mp3,https://lh3.googleusercontent.com/-OoGihZ5OKb294Z5Fqj5_-JKslHZdYw0c-GG23BWr_VaaIUMGYASjBD8pjRvtvn3_IA2TzOkUZaOh_I=w544-h544-l90-rj
sU3dvyon9I4,YEAH NAAH,https://s320.djpunjab.is/data/320/53216/301384/Yeah Naah - Karan Aujla.mp3,https://lh3.googleusercontent.com/-OoGihZ5OKb294Z5Fqj5_-JKslHZdYw0c-GG23BWr_VaaIUMGYASjBD8pjRvtvn3_IA2TzOkUZaOh_I=w544-h544-l90-rj
pdya0Vv4UA8,Mafia Gang,https://s320.djpunjab.is/data/320/51667/299571/Mucho Mafia - Karan Aujla.mp3,https://lh3.googleusercontent.com/IJkYG_nNGfVMGz2r0srok8pdPzghfjYtsg82Nq_cYc2jWd6UBEWDxbx1N3Nn_pjkh6wAnlSYUaatcJo=w544-h544-l90-rj
faYbQhZeRSY,Laut Aana (Remix),https://s320.djpunjab.is/data/320/52383/300387/Laut Aana - Karan Aujla.mp3,https://lh3.googleusercontent.com/vHHV6K2foGUrqX5bIIsk67XdjADoWeVO04wEIJepZt7pE-hSf74cmo9lDWsuwzokZpcnnU02L_o0X20=w544-h544-l90-rj
h0YH9-Px6RA,Hukam,https://s320.djpunjab.is/data/320/49689/297270/Hukam - Karan Aujla.mp3,https://lh3.googleusercontent.com/dsFvBnn2xbM2VEfEjFPjbYoiCfNUS-Q6OBKU0r_9Zv-qd9VOfKF1kw4nB3SFe8DVp3b_wivbU7kn_cIG=w544-h544-l90-rj
qI4Ela7K9S4,Chithiyaan,https://s320.djpunjab.is/data/320/49205/296749/Chithiyaan - Karan Aujla.mp3,https://lh3.googleusercontent.com/PLVpwLWERQ1Fpj5-3fcZVFyd6sxfkVIDTO6MiR54uoByzyavDJALNnBUnI_xPskDbgB_6PQCyU7Ape5z=w544-h544-l90-rj
PPt1nkBzTXM,Haan Haige Aa,https://s320.djpunjab.is/data/320/48605/296057/Haan Haige Aa - Karan Aujla.mp3,https://lh3.googleusercontent.com/_h88cUwNHoraZfFadtoGA9u2Ak2fYYnCnlYpicq7vgVrKvtya6dwDpU-yR4bjmhtZXbISQ7z4OgFKMIvWw=w544-h544-l90-rj
